league,win_odds_s,win_odds_k,draw_odds_s,draw_odds_k,lose_odds_s,lose_odds_k,odds_delta_time_s,odds_delta_time_k
PremierLeague,2.794406667227471,9.616895851999448,2.001683407329508,5.0010656235245925,2.1446111775759222,5.593589609115165,4.408779173581194,35.15348916479888
Serie-A,1.8926344068783494,4.572188042852228,2.0513173308969876,4.478956613028105,2.0292064007907067,4.69051009194579,3.4422290121611274,14.238177182023673
LaLiga,2.6001559571330715,8.619015711075122,2.5382622886112673,6.871438795835402,2.565018076851019,7.409786082190866,2.980758912361822,9.769000091490357
Bundesliga,4.156065024442447,25.23783818700065,2.6290081360997277,8.497918579155975,2.8108764207912516,10.630629219099266,4.368317479791476,27.975413477369358
Ligue1,3.1735290484476364,12.490970079245791,2.242161959433586,6.212271540575079,1.811838383817563,4.022024722675954,4.349515364989722,27.525465641019554
MLS,1.4724194767911918,3.2724132095431164,2.438429793530899,8.61454784563679,1.2451968332802081,1.2970798415634999,5.458334653050957,58.457384851238075
