win,draw,lose,odds_time_minutes
2.00,3.75,3.40,24.0
2.05,3.75,3.30,103.0
2.10,3.75,3.25,274.0
2.20,3.80,3.00,1806.0
2.30,3.75,2.80,2929.0
2.20,3.60,3.00,2982.0
2.37,3.60,2.80,3238.0
2.30,3.75,2.87,3353.0
2.40,3.75,2.70,3597.0
2.40,3.75,2.62,4034.0
2.30,3.75,2.80,4222.0
2.45,3.75,2.62,5846.0
2.30,3.75,2.80,5902.0
2.25,3.75,2.87,6040.0
2.30,3.75,2.75,6693.0
